Here is a CSV table showcasing sales per month for different items over a 5-year period:

```csv
Year,Month,Item A,Item B,Item C,Item D,Item E
2019,January,120,130,140,150,160
2019,February,110,120,130,140,150
2019,March,115,125,135,145,155
2019,April,130,140,150,160,170
2019,May,125,135,145,155,165
2019,June,140,150,160,170,180
2019,July,135,145,155,165,175
2019,August,150,160,170,180,190
2019,September,145,155,165,175,185
2019,October,160,170,180,190,200
2019,November,155,165,175,185,195
2019,December,170,180,190,200,210
2020,January,175,185,195,205,215
2020,February,165,175,185,195,205
2020,March,180,190,200,210,220
2020,April,170,180,190,200,210
2020,May,185,195,205,215,225
2020,June,175,185,195,205,215
2020,July,190,200,210,220,230
2020,August,180,190,200,210,220
2020,September,195,205,215,225,235
2020,October,185,195,205,215,225
2020,November,200,210,220,230,240
2020,December,190,200,210,220,230
2021,January,205,215,225,235,245
2021,February,195,205,215,225,235
2021,March,210,220,230,240,250
2021,April,200,210,220,230,240
2021,May,215,225,235,245,255
2021,June,205,215,225,235,245
2021,July,220,230,240,250,260
2021,August,210,220,230,240,250
2021,September,225,235,245,255,265
2021,October,215,225,235,245,255
2021,November,230,240,250,260,270
2021,December,220,230,240,250,260
2022,January,235,245,255,265,275
2022,February,225,235,245,255,265
2022,March,240,250,260,270,280
2022,April,230,240,250,260,270
2022,May,245,255,265,275,285
2022,June,235,245,255,265,275
2022,July,250,260,270,280,290
2022,August,240,250,260,270,280
2022,September,255,265,275,285,295
2022,October,245,255,265,275,285
2022,November,260,270,280,290,300
2022,December,250,260,270,280,290
2023,January,265,275,285,295,305
2023,February,255,265,275,285,295
2023,March,270,280,290,300,310
2023,April,260,270,280,290,300
2023,May,275,285,295,305,315
2023,June,265,275,285,295,305
2023,July,280,290,300,310,320
2023,August,270,280,290,300,310
2023,September,285,295,305,315,325
2023,October,275,285,295,305,315
2023,November,290,300,310,320,330
2023,December,280,290,300,310,320
2024,January,295,305,315,325,335
2024,February,285,295,305,315,325
2024,March,300,310,320,330,340
2024,April,290,300,310,320,330
2024,May,305,315,325,335,345
2024,June,295,305,315,325,335
2024,July,310,320,330,340,350
2024,August,300,310,320,330,340
2024,September,315,325,335,345,355
2024,October,305,315,325,335,345
2024,November,320,330,340,350,360
2024,December,310,320,330,340,350
```
